Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
Pfizer,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,,,5000+,Public,245000.0,0,US,NYC,None,,49000,Big Pharmaceuticals,Director,8,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,4,,,1000-5000,Public,160000.0,0,United States of America,Boston,None,,33000,Big Pharmaceuticals,Sr. Scientist ,3,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),R&D - Manage 2 junior scientists and 1 CRO relationship to support lab characterization of fermentation process design.,2024-01-01,Have not been long enough to have an annual yearly raise,,"Free medical (United healthcare PPO), dental, short and long term disability, 50k term life insurance, unlimited PTO (used 5 weeks last year)",50-200,Start-up,120000.0,10000,United States,Chicago,None,,10000,Food,Senior Fermentation Scientist,11,Bachelors or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,6% 401k match,Cigna - 150 per biweekly check for family PPO plan. Deductible 250 per person. OOP max 2k per person,5000+,Public,180000.0,56000,United States,Boston,LSSBB,,36000,Big Pharmaceuticals,"Associate Director, Operational Excellence",14,Masters or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),"VP Data Science - head bioinformatics & ML at startup, team of 10",2024-01-01,63,401k,Good insurance for family,50-200,Start-up,200000.0,0,USA,Seattle,MBA,,Not Applicable/None,Small Biotech,VP,13,PhD or Equivalent,"","","","","","","","","","","",2024,Seattle,56,2316.5
Parsons,N/A (no overtime/salaried),Quality assurance and research,2024-01-01,Have not been long enough to have an annual yearly raise,4% 401k match,Kaiser Permanente option,5000+,Government,85000.0,0,USA,I-270 corridor,None,Good so far,Not Applicable/None,Government,Senior Scientist ,3,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,6.7,401k match: 50% up to 10% of salary,,5000+,Public,92231.0,0,United States,New York City,None,,8761.95,Big Pharmaceuticals,Process Development Engineer 1,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
Milliporesigma ,N/A (no overtime/salaried),Manage chemical manufacturing department. a direct reports 3 managers under me.,2024-01-01,Have not been long enough to have an annual yearly raise,6% 401k match,600month family,5000+,Private,125000.0,0,USA,Milwaukee,None,,Not Applicable/None,Chemical,Operations Manager ,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,4% 401k match,HDHP HSA with company contributions,5000+,Public,280000.0,0,United States,Boston,None,,72800,Big Pharmaceuticals,"Medical Director, Clinical Development",5,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
FDA,N/A (no overtime/salaried),Research Scientist- Manage regulatory reviews ,2024-01-01,COLA and step increases,"5% TSP match, federal pension",Surprisingly poor for the field and size of the employer!,5000+,Government,95000.0,0,USA,DC Area/I-270,None,Lots of training opportunity and access to cutting edge science but promotion opportunities and major increases in compensation are rare. Telework and work-life balance are hard to beat. ,Not Applicable/None,Government,Project manager ,4,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),R&D bench for small molecule ,2024-01-01,5,4% 401k match,"Cover 90% health ins, $1000 deductible ",50-200,Private,115000.0,15000,United States,Boston,None,4/5,11500,Industrial Biotech,Associate Scientist,6,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Fermentation scientist,2024-01-01,Have not been long enough to have an annual yearly raise,4% 401K match,,5000+,Public,115000.0,0,USA,Research Triangle,None,,5750,Industrial Biotech,Sr Scientist 1,6,PhD or Equivalent,"","","","","","","","","","","",2024,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Company/Institution does not have annual yearly raise,,,1-50,Academia/College/Universities,60000.0,0,United States ,Chicago,None,,Not Applicable/None,Contract Manufacturing Organization,Process Development and Manufacturing Scientist II,4,Bachelors or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Prefer not to say,N/A (no overtime/salaried),"Daily lab ops, vendor mgmt, ELN and inventory implementation, and space planning/lab build out",2024-01-01,Have not been long enough to have an annual yearly raise, 401k match,Various options from HDHP to PPO. I have $4k deductible with pretty good coverage for $250/mo,1-50,Start-up,115000.0,8000,United States,Philadelphia,None,,10%,Industrial Biotech,lab operations senior manager,11,Masters or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Prefer not to say,1.5x base,,2024-01-01,10%,3% 401k match,,50-200,Private,105000.0,0,USA,Research Triangle,None,,Not Applicable/None,Contract Research Organization,Principal Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2024,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Company/Institution does not have annual yearly raise,,,1-50,Start-up,135000.0,0,United States,Boston,None,,13500,Academia/Research/Institution,Scientist II,4,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Scientist for flow cytometry bioanalytical platform contributing to IND-enabling preclinical studies. One other scientist and I manage a team of 4-6 research associates ,2024-01-01,3,100% match up to 3% of total salary,I opted for a high deductible plan ($5000 deductible) plan through UnitedHealth that is okay. Only had a choice between two high deductible plans and an okay PPO.,200-1000,Private,90000.0,5000,USA,Seattle,None,,Not Applicable/None,Contract Research Organization,Scientist II,0,PhD or Equivalent,"","","","","","","","","","","",2024,Seattle,56,2316.5
Merck,N/A (no overtime/salaried),R&D team lead & lab deliverables,2024-01-01,Have not been long enough to have an annual yearly raise,9% total,PPO,5000+,Public,170000.0,15000,USA,NYC,None,,30000,Big Pharmaceuticals,Principal Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),Director of tech/data side of things,2024-01-01,5-10%,Pension twice the amount that f employee contribution,,5000+,Private,200000.0,25000,Switzerland ,Basel,None,Lot of politics but good company with great compensation,40000,Big Pharmaceuticals,Director ,5,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,4.5,,"Health insurance cost ~$150/month, $2200 added to HSA/FSA per year",50-200,Start-up,135000.0,0,United States ,Boston,None,,13500,Industrial Biotech,Scientist II,5,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Takeda,N/A (no overtime/salaried),Regulatory Affairs,2024-01-01,3,4% match 100%. yearly retirement contribution that slowly vests. ,HSA with 1500 deduct,5000+,Public,190000.0,0,United States,Boston,None,9/10. Great boss and group. flexible office arrangement. flex schedule. good w/l balance,42000,Big Pharmaceuticals,Associate Director,11,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Seagen now Pfizer,N/A (no overtime/salaried),,2024-01-01,Company/Institution does not have annual yearly raise,,,5000+,Public,81000.0,0,United States,Midwest,None,,Not Applicable/None,Big Pharmaceuticals,Sr. Clinical Trials Associate ,7,High School or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,4,3% 401K match ,,50-200,Public,130000.0,0,United States ,Boston,None,,"18,000",Industrial Biotech,Senior Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Manage functional group of research scientists and associates,2024-01-01,Company/Institution does not have annual yearly raise,3% 401k match,"100% premium covered for dental and health, HSA contributions, FSA contributions",50-200,Start-up,170000.0,0,United States of america,Boston,None,"Mostly positive, though challenging to be in a startup in the current economic climate and maintain positive morale. Inexperienced senior leadership struggles to hold focus and prioritize. Very good work like balance and mission worth building toward",Not Applicable/None,Industrial Biotech,Senior group lead,7,Masters or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Charles River,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,,,5000+,Public,75000.0,0,US,Chicago,None,,3750,Contract Research Organization,Sr. Associate Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Novartis,N/A (no overtime/salaried),,2024-01-01,3,,,5000+,Public,124800.0,0,US,San Diego,None,,12480,Big Pharmaceuticals,Senior Scientist I,6,Masters or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,"401k not yet offered, planned 2024 roll out",,1-50,Start-up,175000.0,0,USA,Philadelphia,None,,15000,Industrial Biotech,"Associate Director, AI Product",7,PhD or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,14,401K 6% match and pension,"Anthem BCBS with 3K deductible, first 2K covered by company. Out of pocket/paycheck is 278",5000+,Public,168500.0,5000,United States,NYC,None,B,26960,Big Pharmaceuticals,Advisor - Quantitative Scientist ,3,PhD or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,9% 401k,,5000+,Public,117000.0,5000,United States,Boston,None,,17550,Big Pharmaceuticals,Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Project lead; manage 3 reports,2024-01-01,6%,,,1-50,Start-up,162000.0,15000,USA,Boston,None,,23000,Industrial Biotech,Sr. Scientist II,2,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,,,1-50,Start-up,110000.0,0,United States ,Boston,None,,11000,Big Pharmaceuticals,Associate Scientist ,5,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Assay Development,2024-01-01,3.70%,,,50-200,Public,98630.0,0,USA,San Diego,None,,7%,Contract Manufacturing Organization,Scientist,0,Bachelors or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),Build clinical data pipelines and infrastructure ,2024-01-01,3.7,,,1000-5000,Public,160000.0,0,USA,NYC,None,,20000,Big Pharmaceuticals,Senior bioinformatics data engineer,3,Masters or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
BMS,N/A (no overtime/salaried),Investigate nonconforming cell therapy drugs,2024-01-01,2.75%,6% 401k match with 3% annual bonus match,$750/year employer HSA contribution,5000+,Public,110000.0,0,USA,Boston,None,4/5,11000,Big Pharmaceuticals,Cell Therapy QC Investigations Scientist,7,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,5,,,50-200,Start-up,158000.0,0,USA,Boston,None,,23700,Industrial Biotech,Senior Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Eurofins,1.5x base,,2024-01-01,3,"6% 401k match, commute reimbursement, phone plan coverage",,5000+,Private,75000.0,10000,USA,Denver,"CTBS, MLS",Validations and QA are great. Routine testing departments are always getting slammed.,2500,Industrial Biotech,Validation Scientist II,1,Bachelors or Equivalent,"","","","","","","","","","","",2024,Denver,10,2529.5
Inscripta,N/A (no overtime/salaried),independent contributor in R&D,2024-01-01,Company/Institution does not have annual yearly raise,4% 401k match,"Premiums 100% covered for employee, 80% for dependents. Kaiser and Cigna. There are two Cigna plans - an HDHP ($2600 deductible) and a $1000 deductible OAP. HSAs and FSAs are offered with no employer match or contribution.",50-200,Private,120000.0,0,United States,Bay Area,None,"I would not recommend working here. The leaders are problematic and depending on your team it's potentially a hostile work environment. The funding is solid (4 years of runway and projects with excellent profit potential in the pipeline) and the lab has good resources, but the quarterly/yearly goals are intentionally unrealistic (so they don't have to pay bonuses) and they treat people like exploitable resources instead of autonomous human beings. Business is prized over actual productivity and there are like 15 hours of recurring meetings every week that add almost no value but you have to attend.",12500,Industrial Biotech,Scientist,9,Masters or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Discovery to lead selection,2024-01-01,3,401k match 6%,,50-200,Private,155000.0,10000,United States,Seattle,None,,"15,500",Start up,Senior Scientist ,9,PhD or Equivalent,"","","","","","","","","","","",2024,Seattle,56,2316.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,,,1-50,Start-up,155000.0,0,United States,Bay Area,None,,Not Applicable/None,Industrial Biotech,Scientist II,0,PhD or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,3.8,,,200-1000,Public,153000.0,0,USA,San Diego,None,,23000,Biotech,Assistant Director,6,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,3% 401k match ,,1-50,Start-up,200000.0,0,United States,Philadelphia,None,,60000,Industrial Biotech,Principal Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Evozyne,N/A (no overtime/salaried),Research and develop protein design ML algorithms,2024-01-01,3,,,50-200,Start-up,195000.0,0,USA,Chicago,None,,29000,Big Pharmaceuticals,Sr. Data Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,6%,4% 401k match,,5000+,Public,184000.0,0,USA,Boston,None,,36800,Regulatory Affairs,Associate Director,6,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Takeda,1.5x base,Manufacturing Associate II - perform and document daily manufacturing operations according to SOPs in a cGMP environment ,2024-01-01,5%,401k 4% match,"United HealthCare, HSA high-deductible plan option with $1,000 annual match",5000+,Public,60000.0,0,United States,Minneapolis,None,,8%,Big Pharmaceuticals,Manufacturing Associate II,1,Bachelors or Equivalent,"","","","","","","","","","","",2024,Minneapolis,5,2569.0
Prefer not to say,N/A (no overtime/salaried),Associate in Analytical Development ,2024-01-01,Have not been long enough to have an annual yearly raise,,,200-1000,Public,83000.0,0,United States,Boston,None,,"6,225",Industrial Biotech,Senior Development Associate,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Large pharma ,N/A (no overtime/salaried),Analytical Chemist ,2024-01-01,Have not been long enough to have an annual yearly raise,6% and Pension,Mediocre,200-1000,Subsidiary,150000.0,25000,USA,Bay Area,None,Fine ,60000,Big Pharmaceuticals,Sr Principal Scientist,8,Bachelors or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Scientist- Assay development to support discovery programs,2024-01-01,3,,,5000+,Public,130000.0,0,United States,San Diego,None,,12500,Big Pharmaceuticals,Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),"Sell lab supplies, chemicals, and equipment to bio pharma and adjacent industries ",2024-01-01,Company/Institution does not have annual yearly raise,401k match 5% (I think),Competitive to anything else I’ve seen,5000+,Public,200000.0,0,USA,Boston,None,,Not Applicable/None,Lab supply distribution ,Sales Rep,15,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,401k match 6%,,1000-5000,Public,150000.0,10000,USA,Boston,None,,Not Applicable/None,Contract Research Organization,Sr process engineer ii,8,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Lab automation,2024-01-01,Have not been long enough to have an annual yearly raise,,,50-200,Start-up,40000.0,0,Germany,Frankfurt am Main,None,,Not Applicable/None,Food,Research associate,7,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
CAI,"1.5x base from 40-60 hours, 2x above 60","Junior CQV Engineer, CQV Consulting",2024-01-01,5%,"15% 401k contribution (independent of employee contribution, I always get it)",$20/mo for individual. $3500 deductible. $1200/year HSA contribution ,200-1000,Private,88000.0,0,United States,Bay Area,None,"Generous benefits. Pay is great if you work overtime, but mediocre if you don’t. COLA adjustments do NOT come close to making up for CoL in places like CA. 

Things are highly dependent on your how your manager likes and knows you. ",Not Applicable/None,Big Pharmaceuticals,CQV Engineer I,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Icon,N/A (no overtime/salaried),,2024-01-01,4,,,5000+,Public,54000.0,0,United States,Boston,None,,Not Applicable/None,Contract Research Organization,Study Start up,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),MSAT upstream ,2024-01-01,2,4% matched RRSP,,1000-5000,Private,61000.0,0,Canada,Vancouver,None,,Not Applicable/None,Ancillary reagents,Associate ,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,Vancouver,5,2569.0
University of Pennsylvania ,N/A (no overtime/salaried),Lab and biorepository manager. Senior scientist or equivalent roll. ,2024-01-01,3%,5% match with 1% of salary annual separate retirement account,Open enrollment plans available. Vison dental medical and education ,5000+,Academia/College/Universities,74000.0,0,United states,Philadelphia,LARC CRC ICH-GCP,In need of compensation review. Attracts self motivated individuals looking to perform at the highest level.,Not Applicable/None,Academia/Research/Institution,Research project manager ,10,Masters or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),Ipsc-based in vitro disease modeling for our gene therapeutic candidates.,2024-01-01,3,4% match,80% complete coverage,1-50,Private,94000.0,0,USA,San diego,None,,9400,Big Pharmaceuticals,Associate scientist ,2,Masters or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,1.5x,Work between R&D and manufacturing for cell dispensers,2024-01-01,Company/Institution does not have annual yearly raise,,,1-50,Public,56000.0,0,USA,Portland,None,,Not Applicable/None,Biotech Equipment,Jr Test Engineer ,2,Bachelors or Equivalent,"","","","","","","","","","","",2024,Portland,7,2545.0
InnerPlant,N/A (no overtime/salaried),Team Lead managing 3 FT RAs,2024-01-01,Company/Institution does not have annual yearly raise,"401k account, no match",90% employer covered,1-50,Start-up,97000.0,0,United States,Bay Area,None,great culture,Not Applicable/None,Agriculture,Senior Research Associate,4,Masters or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,5%,401k match,Employer pays 90% of premium ,1-50,Start-up,103000.0,0,United States of America ,Boston,None,,Not Applicable/None,Academia/Research/Institution,Senior Research Associate ,5,Masters or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,5%,6% 401K,"$800 HSA Contribution, free barebones healthcare plan ",5000+,Public,110000.0,0,USA,Denver,None,,9000,Contract Manufacturing Organization,QC Supervisor ,4,Bachelors or Equivalent,"","","","","","","","","","","",2024,Denver,10,2529.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,,,50-200,Start-up,175000.0,0,United States,Boston,None,,26250,Biologics,Sr. Scientist Computational Biology,3,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,5.20%,,,50-200,Start-up,89500.0,5000,US,Seattle,None,,Not Applicable/None,Industrial Biotech,Research Associate II,3,Bachelors or Equivalent,"","","","","","","","","","","",2024,Seattle,56,2316.5
Prefer not to say,N/A (no overtime/salaried),First year associate in a commercial leadership development program,2024-01-01,Have not been long enough to have an annual yearly raise,,,5000+,Public,79000.0,0,United States,Philadelphia,None,,6500,Big Pharmaceuticals,Program Associate,0,Bachelors or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),Computational Biologist,2024-01-01,3,401k match of up to 4%,Gold-level coverage at a nominal cost.,50-200,Start-up,188000.0,0,USA,Bay Area,None,"Nearly ideal work environment, 5/5 stars.",12000,Liquid Biopsy,Staff Scientist,9,PhD or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Senior Bioinformatics Scientist - Drive feasibility and exploratory studies to expand R&D pipeline with new wet/dry lab methods and biomarker discoveries.,2024-01-01,Have not been long enough to have an annual yearly raise,401k match $3000,,200-1000,Public,170000.0,0,United States,San Diego,None,,12%,Clinical Diagnostics,Senior Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),Associate Director in legal department primarily negotiate contracts,2024-01-01,4,401k match to 6%,Employer covers 90% of premiums ,200-1000,Public,194000.0,0,United States,Cambridge,None,,38800,Big Pharmaceuticals,"Associate Director, Legal",10,Bachelors or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Have not been long enough to have an annual yearly raise,15% of base ,Free,1000-5000,Private,225000.0,25000,United States,New York City,None,,50000,Consulting,Project Leader,3,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),"Sr. Scientist - structural biology, early stage discovery ",2024-01-01,3%,4.5% 401k match,,1000-5000,Private,132000.0,12000,USA,San Diego,None,"Good direction, bright future",18500,Big Pharmaceuticals,Sr. Scientist,7,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Roche Diagnostics,N/A (no overtime/salaried),,2024-01-01,3.5,4% match plus 6% at bonus time,,5000+,Public,188000.0,0,United States,Bay Area,None,,28000,Big Pharmaceuticals,Principal Scientist II,8,PhD or Equivalent,"","","","","","","","","","","",2024,Bay Area,251,1921.0
Vertex,N/A (no overtime/salaried),"image analysis, release assays, data analysis",2024-01-01,Have not been long enough to have an annual yearly raise,6% match,HSA,5000+,Public,119000.0,30000,usa,san diego,None,"Acquired from small biotech, three rounds of layoffs in a year to fully dismantle the previous company as a recognizable group of people.  Future uncertain, our current jobs end in a couple months (no defined date).  We are encouraged to find employment within Vertex but that is heavily biased toward people willing to move from San Diego to Boston.  Overall Vertex has treated us with dignity whilst not being shy with the sickle.",12%,Big Pharmaceuticals,research scientist,23,Masters or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
GSK,N/A (no overtime/salaried),Medical Affairs,2024-01-01,3.50%,11% total 401k,,5000+,Public,205000.0,30000,USA,Philadelphia,None,,18%,Big Pharmaceuticals,Global Director,6,PhD or Equivalent,"","","","","","","","","","","",2024,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),The blind leading the blinds,2024-01-01,5,6% 401k,,5000+,Public,375000.0,0,USA,Chicago,"PE, CQA, CPGP","idk, good?",93750,Big Pharmaceuticals,"Head of Compliance, Regional",12,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Vertex pharmaceuticals ,N/A (no overtime/salaried),Non-science based role,2024-01-01,6% with a n additional mid-year salary adjustment of $8k,"401K match, can't recall%",Excellent heath insurance across the board with several options available ,5000+,Public,170000.0,10000,US,Boston,PMP,"Great place to work, especially compared to other companies I have worked for and what others have said about previous employers","18% of base salary, but a multiplier is applied based on review, up to 33%",Big Pharmaceuticals,Associate Director,13,Masters or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Managing internal protein production and distribution to internal and external technology testing. Manage 2-3 MS level researchers,2024-01-01,Company/Institution does not have annual yearly raise,,"Employee insurance subsidized (high deductible ($5k) plan with hsa $11/month). Family offered but not subsidized. United Healthcare. 
Vision and dental combo $20/month united healthcare",1-50,Start-up,90000.0,0,USA,St Louis,None,,Not Applicable/None,Agriculture,Lead,1,PhD or Equivalent,"","","","","","","","","","","",2024,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,12%,3% 401K match,50% health benefits covered,1-50,Private,110000.0,10000,United States,San Diego,None,"Happy, could be making more elsewhere, but WLB and team are great so I am happy",Not Applicable/None,Contract Research Organization,Scientist III,1,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),Computational biology and software engineering,2024-01-01,7,3% match,,200-1000,Public,200000.0,30000,United States,Boston,None,,50000,Academia/Research/Institution,Director,1,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Takeda,N/A (no overtime/salaried),Head of a program management group ,2024-01-01,3,5% 401k match (or something small like that),"PPO option for individual: $2k max out of pocket, $200 deductible for in network. Twice that for out of network. Also HSA option. ",5000+,Public,220000.0,5000,US,Boston,None,"Work with great people, but company tends to staff leanly, which leads to working longer hours. Most people work 40-50 min. Some do ~60. ",55000,Big Pharmaceuticals,Director,15,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,3,6% 401k match,,1000-5000,Public,166000.0,10000,US,Chicago,None,,49800,Regulatory Affairs,Medical Writing Manager,7,PhD or Equivalent,"","","","","","","","","","","",2024,Chicago,20,2484.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Company/Institution does not have annual yearly raise,No match,Health insurance sucks ,1-50,Start-up,150000.0,0,United States,San Diego,None,,20000,Biotech startup ,R&D director,4,PhD or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,Company/Institution does not have annual yearly raise,,,5000+,Public,85000.0,0,USA,San Diego,None,,Not Applicable/None,Big Pharmaceuticals,Scientist,4,Bachelors or Equivalent,"","","","","","","","","","","",2024,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2024-01-01,6.50%,6%,"PPO. Ded covered, HSA company sponsored",1-50,Private,260000.0,90000,US,Boston,None,,65000,Industrial Biotech,Director CMC,9,PhD or Equivalent,"","","","","","","","","","","",2024,Boston/Cambridge,385,1603.0
